Date,Corn,Oil,Gold
198304,318.25,30.63,433.50
198305,304.50,30.25,418.50
198306,297.25,31.38,418.50
198307,320.25,32.00,427.40
198308,359.50,31.59,424.80
198309,354.75,30.36,407.80
198310,344.75,30.37,378.80
198311,340.75,29.23,409.00
198312,337.25,29.60,388.00
198401,329.25,29.98,379.20
198402,332.25,30.55,398.90
198403,353.25,30.85,394.30
198404,342.25,30.26,379.60
198405,350.50,30.83,393.60
198406,328.50,29.75,376.10
198407,294.25,27.60,350.30
198408,283.50,29.23,358.00
198409,278.50,29.66,351.30
198410,274.50,28.46,336.00
198411,278.25,27.31,333.50
198412,269.25,26.41,309.70
198501,272.50,26.41,307.40
198502,271.25,26.73,288.70
198503,281.25,28.29,334.10
198504,279.75,27.63,316.50
198505,274.50,27.84,319.50
198506,255.50,26.87,317.70
198507,231.00,27.12,335.20
198508,218.75,28.08,339.80
198509,224.75,29.08,327.10
198510,232.75,30.38,326.70
198511,243.75,29.75,327.30
198512,248.25,26.30,331.10
198601,244.00,18.83,352.90
198602,227.00,13.26,341.00
198603,234.75,10.42,334.80
198604,232.75,13.30,348.10
198605,237.00,14.30,347.10
198606,184.00,12.78,347.70
198607,165.25,11.15,369.70
198608,165.25,15.90,393.30
198609,176.75,14.77,429.80
198610,173.25,15.27,405.50
198611,177.75,15.00,394.80
198612,160.00,17.94,406.90
198701,157.00,18.75,408.90
198702,153.75,16.60,407.40
198703,162.50,18.83,422.70
198704,184.25,18.73,456.50
198705,188.75,19.38,456.00
198706,186.50,20.29,452.20
198707,163.50,21.37,475.10
198708,166.50,19.73,458.70
198709,179.75,19.59,458.80
198710,179.50,19.96,471.20
198711,196.50,18.51,497.20
198712,184.75,16.70,488.90
198801,196.75,16.94,458.50
198802,209.25,16.01,431.90
198803,209.75,17.08,457.90
198804,211.25,17.99,452.60
198805,224.25,17.51,459.80
198806,337.75,15.16,437.70
198807,275.00,16.31,447.30
198808,296.50,15.18,439.90
198809,285.75,13.37,399.20
198810,282.25,13.58,415.10
198811,270.50,15.32,429.60
198812,284.50,17.24,412.30
198901,274.75,17.03,395.80
198902,278.50,18.15,390.40
198903,268.50,20.19,390.00
198904,270.50,20.42,380.50
198905,260.75,19.90,366.50
198906,255.50,20.27,377.30
198907,222.50,18.31,378.70
198908,236.75,18.83,365.40
198909,233.00,20.13,372.00
198910,237.50,19.94,377.60
198911,241.75,19.89,417.50
198912,239.75,21.82,405.20
199001,238.25,22.68,417.80
199002,253.25,21.54,408.90
199003,261.25,20.28,375.00
199004,283.00,18.54,371.40
199005,278.00,17.40,368.60
199006,289.50,17.07,359.90
199007,260.25,20.69,379.20
199008,233.25,27.35,389.20
199009,228.00,39.51,408.10
199010,229.25,35.23,381.30
199011,237.75,28.85,385.70
199012,231.75,28.44,396.20
199101,244.25,21.54,368.50
199102,251.00,19.16,369.00
199103,252.75,19.63,359.40
199104,254.00,20.96,357.70
199105,245.75,21.13,364.80
199106,224.00,20.56,370.00
199107,258.00,21.68,370.80
199108,254.75,22.26,352.90
199109,249.25,22.23,357.30
199110,251.00,23.37,359.50
199111,247.50,21.48,371.10
199112,251.50,19.12,355.20
199201,264.25,18.90,358.90
199202,273.50,18.68,354.10
199203,264.25,19.44,345.50
199204,249.50,20.85,337.90
199205,259.50,22.11,338.40
199206,253.25,21.60,344.40
199207,220.25,21.87,361.40
199208,217.25,21.48,345.30
199209,215.25,21.71,349.40
199210,207.25,20.62,340.10
199211,221.50,19.89,335.50
199212,216.50,19.50,333.10
199301,214.50,20.26,330.70
199302,219.25,20.60,329.10
199303,230.25,20.44,339.30
199304,232.50,20.53,357.20
199305,224.50,20.02,380.30
199306,229.00,18.85,379.20
199307,235.75,17.88,411.30
199308,237.50,18.29,375.70
199309,244.75,18.79,357.10
199310,257.75,16.92,369.60
199311,285.50,15.40,371.90
199312,306.00,14.17,391.90
199401,290.25,15.19,383.60
199402,293.75,14.48,382.50
199403,274.75,14.79,394.30
199404,272.00,16.90,377.80
199405,278.75,18.31,390.00
199406,244.50,19.37,387.30
199407,218.75,20.30,389.20
199408,222.75,17.56,390.80
199409,215.75,18.39,397.60
199410,215.75,18.19,384.90
199411,223.00,18.05,384.50
199412,231.00,17.76,384.40
199501,229.50,18.39,377.70
199502,242.00,18.49,378.30
199503,250.00,19.17,394.30
199504,255.25,20.38,388.50
199505,266.00,18.89,387.60
199506,278.00,17.40,385.60
199507,281.75,17.56,388.40
199508,293.75,17.84,386.90
199509,311.75,17.54,386.50
199510,332.50,17.64,384.30
199511,337.75,18.18,388.60
199512,369.25,19.55,388.10
199601,369.00,17.74,408.50
199602,389.25,19.54,401.20
199603,409.00,21.47,398.40
199604,452.00,21.20,393.50
199605,477.25,19.76,394.40
199606,397.75,20.92,381.60
199607,354.25,20.42,393.10
199608,343.75,22.25,391.30
199609,296.75,24.38,380.50
199610,266.00,23.35,379.10
199611,271.00,23.75,375.00
199612,258.25,25.92,369.20
199701,270.25,24.15,346.00
199702,295.25,20.30,365.10
199703,310.00,20.41,354.00
199704,293.25,20.21,341.20
199705,270.75,20.88,347.50
199706,238.00,19.80,335.30
199707,265.50,20.14,328.60
199708,269.25,19.61,327.40
199709,257.75,21.18,336.90
199710,279.75,21.08,312.10
199711,280.75,19.15,298.60
199712,265.00,17.64,289.90
199801,273.00,17.21,304.60
199802,270.25,15.44,300.10
199803,259.00,15.61,303.30
199804,252.25,15.39,307.90
199805,238.50,15.20,295.10
199806,253.25,14.18,298.10
199807,217.50,14.21,290.50
199808,199.50,13.34,278.90
199809,209.00,16.14,299.00
199810,219.00,14.42,293.70
199811,230.00,11.22,295.10
199812,213.50,12.05,289.20
199901,214.50,12.75,288.20
199902,210.25,12.27,288.30
199903,225.50,16.76,281.90
199904,218.75,18.66,287.80
199905,219.50,16.84,272.00
199906,216.25,19.29,263.60
199907,203.25,20.53,258.80
199908,219.25,22.11,257.30
199909,208.25,24.51,299.50
199910,199.50,21.75,300.30
199911,200.50,24.59,293.00
199912,204.50,25.60,289.60
200001,220.00,27.64,286.20
200002,224.00,30.43,294.20
200003,236.00,26.90,281.40
200004,232.00,25.74,274.70
200005,225.00,29.01,274.80
200006,195.75,32.50,291.50
200007,180.25,27.43,283.20
200008,196.50,33.12,282.10
200009,197.75,30.84,276.90
200010,206.00,32.70,266.40
200011,220.50,33.82,273.30
200012,231.75,26.80,273.60
200101,209.00,28.66,268.00
200102,222.50,27.39,267.80
200103,203.25,26.29,259.20
200104,207.50,28.46,264.40
200105,192.75,28.37,266.90
200106,197.25,26.25,271.30
200107,218.75,26.35,269.20
200108,232.25,27.20,276.50
200109,214.50,23.43,294.00
200110,205.50,21.18,280.50
200111,220.50,19.44,274.90
200112,209.00,19.84,279.00
200201,206.00,19.48,282.90
200202,207.50,21.74,297.10
200203,202.50,26.31,303.70
200204,200.50,27.29,309.20
200205,214.00,25.31,327.50
200206,233.00,26.86,313.90
200207,247.25,27.02,305.20
200208,268.00,28.98,313.90
200209,251.50,30.45,325.20
200210,247.50,27.22,318.40
200211,241.50,26.89,317.80
200212,235.75,31.20,348.20
200301,238.25,33.51,369.10
200302,233.25,36.60,350.30
200303,236.50,31.04,336.90
200304,231.25,25.80,339.40
200305,244.25,29.56,365.60
200306,223.75,30.19,346.30
200307,206.00,30.54,355.80
200308,241.75,31.57,376.80
200309,220.25,29.20,386.10
200310,247.25,29.11,384.60
200311,248.75,30.41,398.00
200312,246.00,32.52,416.10
200401,276.25,33.05,402.90
200402,303.00,36.16,396.80
200403,320.00,35.76,428.30
200404,320.25,37.38,387.50
200405,304.00,39.88,394.90
200406,262.50,37.05,393.00
200407,217.25,43.80,393.70
200408,237.75,42.12,412.40
200409,205.50,49.64,420.40
200410,202.50,51.76,429.40
200411,203.75,49.13,453.20
200412,204.75,43.45,438.40
200501,197.00,48.20,424.10
200502,222.75,51.75,437.60
200503,213.00,55.40,431.10
200504,213.50,49.72,436.10
200505,222.00,51.97,418.90
200506,222.25,56.50,437.10
200507,236.50,60.57,435.80
200508,216.50,68.94,438.10
200509,205.50,66.24,472.30
200510,196.25,59.76,466.90
200511,201.75,57.32,498.70
200512,215.75,61.04,518.90
200601,218.75,67.92,575.50
200602,238.75,61.41,563.90
200603,236.00,66.63,586.70
200604,249.00,71.88,654.50
200605,251.25,71.29,649.00
200606,246.00,73.93,616.00
200607,239.00,74.40,646.80
200608,248.00,70.26,634.20
200609,262.50,62.91,604.20
200610,320.75,58.73,606.80
200611,390.50,63.13,652.90
200612,390.25,61.05,638.00
200701,404.00,58.14,657.90
200702,435.50,61.79,672.50
200703,374.50,65.87,669.00
200704,367.50,65.71,683.50
200705,390.25,64.01,666.70
200706,340.00,70.68,650.90
200707,325.75,78.21,679.30
200708,340.00,74.04,681.90
200709,373.00,81.66,750.00
200710,375.50,94.53,795.30
200711,401.50,88.71,789.10
200712,455.50,95.98,838.00
200801,501.25,91.75,928.00
200802,556.50,101.84,975.00
200803,567.25,101.58,921.50
200804,612.25,113.46,865.10
200805,599.25,127.35,891.50
200806,737.75,140.00,928.30
200807,587.50,124.08,922.70
200808,585.00,115.46,835.20
200809,487.50,100.64,880.80
200810,401.50,67.81,718.20
200811,365.75,54.43,819.00
200812,407.00,44.60,884.30
200901,379.00,41.68,928.40
200902,359.00,44.76,942.50
200903,404.75,49.66,925.00
200904,403.50,51.12,891.20
200905,436.25,66.31,980.30
200906,354.50,69.89,927.40
200907,339.50,69.45,955.80
200908,329.75,69.96,953.50
200909,344.00,70.61,1009.30
200910,366.00,77.00,1040.40
200911,417.50,77.28,1182.30
200912,414.50,79.36,1096.20
201001,356.50,72.89,1083.80
201002,389.00,79.66,1118.90
201003,345.00,83.76,1114.50
201004,375.25,86.15,1180.70
201005,359.00,73.97,1215.00
201006,362.75,75.63,1245.90
201007,392.75,78.95,1183.90
201008,439.25,71.92,1250.30
201009,495.75,79.97,1309.60
201010,582.00,81.43,1357.60
201011,544.00,84.11,1386.10
201012,629.00,91.38,1421.40
201101,659.50,92.19,1334.50
201102,731.00,96.97,1409.90
201103,693.25,106.72,1439.90
201104,756.50,113.93,1556.40
201105,747.50,102.70,1536.80
201106,648.00,95.42,1502.80
201107,665.50,95.70,1631.20
201108,767.50,88.81,1831.70
201109,592.50,79.20,1622.30
201110,647.00,93.19,1725.20
201111,608.00,100.36,1750.30
201112,646.50,98.83,1566.80
201201,639.00,98.48,1740.40
201202,658.00,107.07,1711.30
201203,644.00,103.02,1671.90
201204,634.25,104.87,1664.20
201205,555.25,86.53,1564.20
201206,628.50,84.96,1604.20
201207,806.50,88.06,1614.60
201208,799.75,96.47,1687.60
201209,756.25,92.19,1773.90
201210,755.75,86.24,1719.10
201211,752.75,88.91,1712.70
201212,698.25,91.82,1675.80
201301,740.50,97.49,1662.00
201302,703.50,92.05,1578.10
201303,695.25,97.23,1595.70
201304,650.00,93.46,1472.10
201305,662.00,91.97,1393.00
201306,547.25,96.56,1223.70
201307,499.00,105.03,1313.00
201308,482.00,107.65,1396.10
201309,441.50,102.33,1327.00
201310,428.25,96.38,1323.70
201311,424.50,92.72,1250.40
201312,422.00,98.42,1202.30
201401,434.00,97.49,1239.80
201402,463.50,102.59,1321.60
201403,502.00,101.58,1283.80
201404,519.00,99.74,1295.90
201405,465.75,102.71,1246.00
201406,418.75,105.37,1322.00
201407,357.00,98.17,1282.80
201408,364.75,95.96,1287.40
201409,320.75,91.16,1211.60
201410,376.75,80.54,1171.60
201411,388.75,66.15,1175.50
201412,397.00,53.27,1184.10
201501,370.00,48.24,1279.20
201502,393.25,49.76,1213.10
201503,376.25,47.60,1183.20
201504,366.25,59.63,1182.40
201505,351.50,60.30,1189.80
201506,422.00,59.47,1171.80
201507,371.00,47.12,1095.10
201508,375.25,49.20,1132.50
201509,387.75,45.09,1115.20
201510,382.25,46.59,1141.40
201511,372.25,41.65,1065.30
201512,358.75,37.04,1060.20
201601,372.00,33.62,1116.40
201602,357.00,33.75,1234.40
201603,351.50,38.34,1235.60
201604,391.75,45.92,1290.50
201605,404.75,49.10,1217.50
201606,365.50,48.33,1320.60
201607,334.50,41.60,1357.50
201608,315.50,44.70,1311.40
201609,336.75,48.24,1317.10
201610,354.75,46.86,1273.10
201611,348.50,49.44,1173.90
201612,352.00,53.72,1151.70
