country_code	continent	country	date	total_cases	new_cases	total_deaths	new_deaths	total_cases_per_million	new_cases_per_million	total_deaths_per_million	new_deaths_per_million
AFG	Asia	Afghanistan	1/30/2021	55008	69	2400	1	1413.058	1.772	61.652	0.026
ALB	Europe	Albania	1/30/2021	77251	901	1369	11	26843.77	313.086	475.711	3.822
DZA	Africa	Algeria	1/30/2021	107122	235	2888	4	2442.861	5.359	65.859	0.091
AND	Europe	Andorra	1/30/2021	9885	48	101	1	127936.323	621.239	1307.19	12.942
AGO	Africa	Angola	1/30/2021	19782	59	464	0	601.894	1.795	14.118	0
ATG	North America	Antigua and Barbuda	1/30/2021	218	0	7	1	2226.125	0	71.481	10.212
ARG	South America	Argentina	1/30/2021	1922264	6902	47931	156	42531.938	152.713	1060.519	3.452
ARM	Asia	Armenia	1/30/2021	166901	173	3071	2	56323.935	58.382	1036.368	0.675
AUS	Oceania	Australia	1/30/2021	28811	5	909	0	1129.848	0.196	35.647	0
AUT	Europe	Austria	1/30/2021	413208	1478	7703	45	45879.375	164.106	855.281	4.996
AZE	Asia	Azerbaijan	1/30/2021	230066	131	3126	7	22690.801	12.92	308.309	0.69
BHS	North America	Bahamas	1/30/2021	8174	7	176	1	20785.865	17.8	447.555	2.543
BHR	Asia	Bahrain	1/30/2021	102626	655	372	0	60312.074	384.936	218.62	0
BGD	Asia	Bangladesh	1/30/2021	534770	363	8111	17	3247.143	2.204	49.25	0.103
BRB	North America	Barbados	1/30/2021	1523	25	12	0	5299.769	86.996	41.758	0
BLR	Europe	Belarus	1/30/2021	246570	1852	1708	10	26093.938	195.993	180.754	1.058
BEL	Europe	Belgium	1/30/2021	707837	2717	21066	48	61075.104	234.434	1817.662	4.142
BLZ	North America	Belize	1/30/2021	11908	31	301	0	29948.116	77.964	757.002	0
BEN	Africa	Benin	1/30/2021	3786	0	48	0	312.294	0	3.959	0
BTN	Asia	Bhutan	1/30/2021	858	0	1	0	1111.958	0	1.296	0
BOL	South America	Bolivia	1/30/2021	215397	2005	10330	51	18452.537	171.763	884.946	4.369
BIH	Europe	Bosnia and Herzegovina	1/30/2021	121497	0	4679	0	37032.567	0	1426.17	0
BWA	Africa	Botswana	1/30/2021	21293	0	134	0	9054.59	0	56.982	0
BRA	South America	Brazil	1/30/2021	9176975	58462	223945	1279	43173.695	275.038	1053.564	6.017
BRN	Asia	Brunei	1/30/2021	180	0	3	0	411.445	0	6.857	0
BGR	Europe	Bulgaria	1/30/2021	218618	349	9028	20	31462.867	50.227	1299.284	2.878
BFA	Africa	Burkina Faso	1/30/2021	10580	157	120	0	506.141	7.511	5.741	0
BDI	Africa	Burundi	1/30/2021	1613	9	2	0	135.651	0.757	0.168	0
KHM	Asia	Cambodia	1/30/2021	465	2			27.813	0.12		
CMR	Africa	Cameroon	1/30/2021	29617	0	462	0	1115.692	0	17.404	0
CAN	North America	Canada	1/30/2021	778772	3847	19926	125	20634.009	101.928	527.951	3.312
CPV	Africa	Cape Verde	1/30/2021	13981	84	133	2	25146.226	151.082	239.214	3.597
CAF	Africa	Central African Republic	1/30/2021	4981	0	63	0	1031.313	0	13.044	0
TCD	Africa	Chad	1/30/2021	3347	26	118	0	203.764	1.583	7.184	0
CHL	South America	Chile	1/30/2021	722900	4151	18339	82	37816.075	217.146	959.343	4.29
CHN	Asia	China	1/30/2021	99968	120	4815	1	69.455	0.083	3.345	0.001
COL	South America	Colombia	1/30/2021	2086806	9173	53650	366	41011.944	180.277	1054.382	7.193
COM	Africa	Comoros	1/30/2021	2718	72	90	1	3125.593	82.797	103.496	1.15
COG	Africa	Congo	1/30/2021	7887	0	117	0	1429.298	0	21.203	0
CRI	North America	Costa Rica	1/30/2021	193276	0	2604	0	37941.043	0	511.178	0
CIV	Africa	Cote d'Ivoire	1/30/2021	28178	244	152	0	1068.228	9.25	5.762	0
HRV	Europe	Croatia	1/30/2021	232090	551	4998	26	56534.677	134.218	1217.46	6.333
CUB	North America	Cuba	1/30/2021	25674	910	213	3	2266.696	80.342	18.805	0.265
CYP	Europe	Cyprus	1/30/2021	30770	113	197	0	35129.621	129.01	224.912	0
CZE	Europe	Czechia	1/30/2021	980714	8072	16211	139	91578.639	753.76	1513.776	12.98
COD	Africa	Democratic Republic of Congo	1/30/2021	22604	149	671	6	252.386	1.664	7.492	0.067
DNK	Europe	Denmark	1/30/2021	198779	431	2107	22	34318.376	74.41	363.765	3.798
DJI	Africa	Djibouti	1/30/2021	5931	1	62	0	6003.024	1.012	62.753	0
DMA	North America	Dominica	1/30/2021	117	0			1625.203	0		
DOM	North America	Dominican Republic	1/30/2021	212553	2141	2646	20	19593.923	197.365	243.918	1.844
ECU	South America	Ecuador	1/30/2021	249779	3092	14851	49	14157.351	175.253	841.747	2.777
EGY	Africa	Egypt	1/30/2021	165418	547	9263	46	1616.446	5.345	90.517	0.45
SLV	North America	El Salvador	1/30/2021	53989	0	1614	10	8323.671	0	248.836	1.542
GNQ	Africa	Equatorial Guinea	1/30/2021	5516	0	86	0	3931.617	0	61.298	0
ERI	Africa	Eritrea	1/30/2021	2135	0	7	0	602.014	0	1.974	0
EST	Europe	Estonia	1/30/2021	43747	404	411	2	32978.299	304.552	309.829	1.508
SWZ	Africa	Eswatini	1/30/2021	15666	195	562	11	13503.263	168.08	484.414	9.481
ETH	Africa	Ethiopia	1/30/2021	137021	656	2091	4	1191.864	5.706	18.188	0.035
FJI	Oceania	Fiji	1/30/2021	55	0	2	0	61.354	0	2.231	0
FIN	Europe	Finland	1/30/2021	44871	469	671	0	8098.409	84.646	121.103	0
FRA	Europe	France	1/30/2021	3236685	24045	76006	241	49586.5	368.373	1164.423	3.692
GAB	Africa	Gabon	1/30/2021	10748	0	68	0	4828.982	0	30.552	0
GMB	Africa	Gambia	1/30/2021	4090	71	128	0	1692.416	29.379	52.966	0
GEO	Asia	Georgia	1/30/2021	257632	676	3159	11	64582.777	169.459	791.893	2.757
DEU	Europe	Germany	1/30/2021	2224911	17518	57105	819	26555.338	209.085	681.574	9.775
GHA	Africa	Ghana	1/30/2021	65427	1544	405	15	2105.594	49.69	13.034	0.483
GRC	Europe	Greece	1/30/2021	156473	795	5779	15	15012.2	76.273	554.444	1.439
GRD	North America	Grenada	1/30/2021	148	0	1	0	1315.333	0	8.887	0
GTM	North America	Guatemala	1/30/2021	159118	782	5618	36	8881.55	43.649	313.582	2.009
GIN	Africa	Guinea	1/30/2021	14475	24	82	0	1102.203	1.827	6.244	0
GNB	Africa	Guinea-Bissau	1/30/2021	2532	0	45	0	1286.587	0	22.866	0
